,time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
0,2024-07-23 00:00:00,0.0,0.0,NNW,338
1,2024-07-23 00:05:00,0.0,0.0,NNW,336
2,2024-07-23 00:10:01,0.8,2.5,NNW,333
3,2024-07-23 00:15:00,1.8,4.3,NNW,330
4,2024-07-23 00:20:00,3.5,4.3,NNW,332
5,2024-07-23 00:25:01,2.5,4.3,NNW,334
6,2024-07-23 00:30:00,2.5,4.3,NNW,334
7,2024-07-23 00:35:00,2.5,4.3,NNW,340
8,2024-07-23 00:40:00,3.5,7.0,NNW,345
9,2024-07-23 00:45:00,3.5,7.0,NNW,341
10,2024-07-23 00:50:00,3.5,5.2,NNW,338
11,2024-07-23 00:55:00,3.5,5.2,NNW,341
12,2024-07-23 01:00:00,2.5,4.3,NNW,343
13,2024-07-23 01:05:00,2.5,4.3,NNW,341
14,2024-07-23 01:10:00,2.5,3.5,NNW,340
15,2024-07-23 01:15:00,2.5,3.5,NNW,341
16,2024-07-23 01:20:00,2.5,3.5,NNW,336
17,2024-07-23 01:25:01,1.8,3.5,NNW,329
18,2024-07-23 01:30:01,0.8,2.5,NNW,333
19,2024-07-23 01:35:01,0.8,2.5,N,351
